company,careers_url,detected_ats,evidence,final_url,error
Character.AI,https://character.ai/careers,ashby,Ashby — matched: ashbyhq.com,https://character.ai/careers,
Clay,https://www.clay.com/careers,ashby,Ashby — matched: ashbyhq.com,https://www.clay.com/careers,
DolarApp,https://www.dolarapp.com/careers,ashby,Network request: https://jobs.ashbyhq.com/ARQ/embed?version=2,https://www.arqfinance.com/en-MX/careers,
MoneyLion,https://www.moneylion.com/careers/,ashby,Ashby — matched: ashbyhq.com,https://www.moneylion.com/careers/,
BambooHR,https://www.bamboohr.com/about/careers/,bamboohr,URL redirect → https://www.bamboohr.com/about/careers/,https://www.bamboohr.com/about/careers/,
Katapult,https://www.katapult.com/careers,bamboohr,URL redirect → https://www.bamboohr.com/,https://www.bamboohr.com/,
Splitit,https://www.splitit.com/careers,bamboohr,Found in rendered HTML,https://www.splitit.com/business/about/,
Mercado Libre,https://jobs.mercadolibre.com/,eightfold,Found in rendered HTML,https://careers-meli.mercadolibre.com/,
PayPal,https://careers.pypl.com/home,eightfold,Found in rendered HTML,https://careers.pypl.com/home/,
Resy,https://resy.com/careers,eightfold,Found in rendered HTML,https://resy.com/careers?date=2026-06-30&seats=2,
Segment,https://segment.com/jobs/,eightfold,Found in rendered HTML,https://jobs.twilio.com/careers?start=0&pid=1099554438523&sort_by=timestamp,
SendGrid,https://sendgrid.com/careers/,eightfold,Found in rendered HTML,https://jobs.twilio.com/careers?start=0&pid=1099554438523&sort_by=timestamp,
8x8,https://www.8x8.com/careers,error,,,"Page.goto: Timeout 25000ms exceeded.
Call log:
navigating to ""https://www.8x8.com/careers"", waiting "
A Cloud Guru,https://www.a-cloud-guru.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.a-cloud-guru.com/careers
Call log:
navigating t"
Aaptiv,https://www.aaptiv.com/careers,error,,,"Page.goto: Timeout 25000ms exceeded.
Call log:
navigating to ""https://www.aaptiv.com/careers"", waiti"
Affirm Inc,https://www.affirm-inc.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.affirm-inc.com/careers
Call log:
navigating to "
Afterpay,https://www.afterpay.com/en-US/careers,error,,,"Page.goto: Timeout 25000ms exceeded.
Call log:
navigating to ""https://www.afterpay.com/en-US/careers"
Age of Learning,https://www.age-of-learning.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.age-of-learning.com/careers
Call log:
navigatin"
Anchorage Digital,https://www.anchorage-digital.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.anchorage-digital.com/careers
Call log:
navigat"
Arc (Browser Company),https://www.arc-browser-company.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.arc-browser-company.com/careers
Call log:
navig"
Archer Aviation,https://www.archer-aviation.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.archer-aviation.com/careers
Call log:
navigatin"
Ashby (ATS),https://www.ashby-ats.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.ashby-ats.com/careers
Call log:
navigating to """
Bench Accounting,https://www.bench-accounting.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.bench-accounting.com/careers
Call log:
navigati"
Better.com,https://better.com/careers,error,,,"Page.goto: Timeout 25000ms exceeded.
Call log:
navigating to ""https://better.com/careers"", waiting u"
Beyond Meat,https://www.beyond-meat.com/careers,error,,,"Page.goto: Timeout 25000ms exceeded.
Call log:
navigating to ""https://www.beyond-meat.com/careers"", "
