company_name,career_url,ats_hint,note
A Cloud Guru,https://www.a-cloud-guru.com/careers,,
Aaptiv,https://www.aaptiv.com/careers,,
Affirm Inc,https://www.affirm-inc.com/careers,,
Afterpay,https://www.afterpay.com/en-US/careers,,
Age of Learning,https://www.age-of-learning.com/careers,,
Anchorage Digital,https://www.anchorage-digital.com/careers,,
Arc (Browser Company),https://www.arc-browser-company.com/careers,,
Archer Aviation,https://www.archer-aviation.com/careers,,
Ashby (ATS),https://www.ashby-ats.com/careers,,
Bench Accounting,https://www.bench-accounting.com/careers,,
Better.com,https://better.com/careers,,
Beyond Meat,https://www.beyond-meat.com/careers,,
Blind,https://www.blind.com/careers,,
Block (Square),https://block.xyz/careers/jobs,SmartRecruiters,URL_FIXED
Box,https://www.box.com/en-us/about-us/careers,,
Branch (Earned Wage),https://www.branch-earned-wage.com/careers,,
Brandless,https://www.brandless.com/careers,,
Bread Financial,https://www.bread-financial.com/careers,,
Breezy HR,https://www.breezy-hr.com/careers,,
Brex Empower,https://www.brex-empower.com/careers,,
Building Engines,https://www.building-engines.com/careers,,
CAVA,https://www.cava.com/careers,,
Captable.io,https://www.captableio.com/careers,,
Carta Talent,https://www.carta-talent.com/careers,,
Carta Venture,https://www.carta-venture.com/careers,,
Chime Financial,https://www.chime-financial.com/careers,,
Clutch Kitchen,https://www.clutch-kitchen.com/careers,,
Compass,https://www.compass.com/careers/,,
Copy.ai,https://www.copyai.com/careers,,
Cron,https://www.cron.com/careers,,
Culture Amp HR,https://www.culture-amp-hr.com/careers,,
Current Banking,https://www.current-banking.com/careers,,
Deel HR,https://www.deel-hr.com/careers,,
Density,https://www.density.com/careers,,
Disney Streaming,https://www.disney-streaming.com/careers,,
Divvy Homes,https://www.divvy-homes.com/careers,,
Domain Money,https://www.domain-money.com/careers,,
DoorDash Storefront,https://www.doordash-storefront.com/careers,,
Eat Just,https://www.eat-just.com/careers,,
Eightfold AI,https://www.eightfold-ai.com/careers,,
Even (Earnin),https://www.even-earnin.com/careers,,
Even Financial,https://www.even-financial.com/careers,,
Expedia,https://careers.expedia.com,Workday,URL_FIXED
Experian Boost,https://www.experian-boost.com/careers,,
Factorial,https://www.factorial.com/careers,,
Fama,https://www.fama.com/careers,,
Felix Pago,https://www.felix-pago.com/careers,,
First Boulevard,https://www.first-boulevard.com/careers,,
Flock Freight,https://www.flock-freight.com/careers,,
Found Banking,https://www.found-banking.com/careers,,
Frame.io,https://www.frameio.com/careers,,
Greenhouse Software,https://www.greenhouse-software.com/careers,,
Greenlight Financial,https://www.greenlight-financial.com/careers,,
Greenwood,https://www.greenwood.com/careers,,
Gusto Wallet,https://www.gusto-wallet.com/careers,,
HBO Max,https://www.hbo-max.com/careers,,
Heap,https://www.heap.com/careers,,
Hightower,https://www.hightower.com/careers,,
Honeypot,https://www.honeypot.com/careers,,
Imperfect Foods,https://www.imperfect-foods.com/careers,,
Instant Financial,https://www.instant-financial.com/careers,,
Instantly,https://www.instantly.com/careers,,
Integral Ad Science,https://www.integral-ad-science.com/careers,,
Jasper,https://www.jasper.com/careers,,
Joby Aviation,https://www.joby-aviation.com/careers,,
KeepTruckin (Motive),https://www.keeptruckin-motive.com/careers,,
King (Activision),https://www.king-activision.com/careers,,
Kitchen United,https://www.kitchen-united.com/careers,,
Lambda School (BloomTech),https://www.lambda-school-bloomtech.com/careers,,
Lattice HR,https://www.lattice-hr.com/careers,,
Lemon.io,https://www.lemonio.com/careers,,
Lever TA,https://www.lever-ta.com/careers,,
Lili,https://www.lili.com/careers,,
Lime,https://www.lime.com/careers,,
M1 Finance,https://www.m1-finance.com/careers,,
Mailchimp,https://www.mailchimp.com/careers,,
Marcus by Goldman Sachs,https://www.marcus-by-goldman-sachs.com/careers,,
Mercury Banking,https://www.mercury-banking.com/careers,,
Method Financial,https://www.method-financial.com/careers,,
Mirror,https://www.mirror.com/careers,,
Mode Analytics,https://www.mode-analytics.com/careers,,
Motion,https://www.motion.com/careers,,
Nasdaq Private Market,https://www.nasdaq-private-market.com/careers,,
Notion Press,https://www.notion-press.com/careers,,
Origin,https://www.origin.com/careers,,
Oyster HR,https://www.oyster-hr.com/careers,,
Papaya Global,https://www.papaya-global.com/careers,,
Paramount+,https://www.paramount+.com/careers,,
Peacock,https://www.peacock.com/careers,,
Perfect Day,https://www.perfect-day.com/careers,,
Pika Labs,https://www.pika-labs.com/careers,,
Pilot.com,https://www.pilotcom.com/careers,,
Postpay,https://www.postpay.com/careers,,
Puzzle,https://www.puzzle.com/careers,,
Rakuten,https://rakuten.jobs/,,
Ramp Business,https://www.ramp-business.com/careers,,
Ramp Financial,https://www.ramp-financial.com/careers,,
Ramp Procurement,https://www.ramp-procurement.com/careers,,
Relativity Space,https://www.relativity-space.com/careers,,
Relay Financial,https://www.relay-financial.com/careers,,
Remote OAB,https://www.remote-oab.com/careers,,
Remote OK,https://www.remote-ok.com/careers,,
Republic,https://www.republic.com/careers,,
Ribbon,https://www.ribbon.com/careers,,
Riverside.fm,https://www.riversidefm.com/careers,,
Rocket Money,https://www.rocket-money.com/careers,,
Sakara Life,https://www.sakara-life.com/careers,,
Sequoia Consulting,https://www.sequoia-consulting.com/careers,,
Simple,https://www.simple.com/careers,,
Splendid Spoon,https://www.splendid-spoon.com/careers,,
Square,https://www.square.com/careers,,
Square POS,https://www.square-pos.com/careers,,
Synapse,https://www.synapse.com/careers,,
Synchrony,https://www.synchrony.com/careers,,
Tability,https://www.tability.com/careers,,
Tally,https://www.tally.com/careers,,
Tally Technologies,https://www.tally-technologies.com/careers,,
Teamblind,https://www.teamblind.com/careers,,
Tesla Energy,https://www.tesla-energy.com/careers,,
Toast POS,https://www.toast-pos.com/careers,,
Transit App,https://www.transit-app.com/careers,,
TriNet,https://www.trinet.com/careers,,
Trim,https://www.trim.com/careers,,
Triplebyte,https://www.triplebyte.com/careers,,
Tropic,https://www.tropic.com/careers,,
