company,url,ats,slug,evidence,error
Kajabi,https://www.kajabi.com/careers,unknown,,,
Noom,https://www.noom.com/careers/job-listings/,unknown,,,
Teachable,https://www.teachable.com/careers,greenhouse,teachablecareers,api.greenhouse.io/v1/boards/teachablecareers,
Numerade,https://www.numerade.com/careers/,unknown,,,
Airfocus,https://airfocus.com/careers/,unknown,,,
Codecademy,https://www.codecademy.com/about/careers,unknown,,,
Gladly,https://www.gladly.ai/careers/,unknown,,,
MX,https://www.mx.com/careers/,greenhouse,mxtechnologiesinc,boards.greenhouse.io/mxtechnologiesinc,
Stord,https://www.stord.com/careers,workday,stord,stord.wd503.myworkdayjobs.com,
SentinelOne,https://www.sentinelone.com/jobs/,unknown,,,
Payhawk,https://payhawk.com/careers,unknown,,,
Pipe,https://pipe.com/careers,unknown,,,
Scalapay,https://www.scalapay.com/careers,lever,Scalapay,jobs.lever.co/Scalapay,
Wonderlic,https://wonderlic.com/jobs/,unknown,,,
Glean,https://www.glean.com/careers,greenhouse,gleanwork,boards-api.greenhouse.io/v1/boards/gleanwork,
EasyPost,https://www.easypost.com/careers,lever,easypost-2,jobs.lever.co/easypost-2,
Hinge,https://hinge.co/careers,unknown,,,
Reflektive,https://www.reflektive.com/company/careers/,lever,reflektive,api.lever.co/v0/postings/reflektive,
DolarApp,https://www.dolarapp.com/careers,ashby,ARQ,jobs.ashbyhq.com/ARQ,
Criteo,https://careers.criteo.com/en/,workday,criteo,criteo.wd3.myworkdayjobs.com,
Tempus,https://www.tempus.com/careers/,workday,tempus,tempus.wd5.myworkdayjobs.com,
Buildertrend,https://buildertrend.com/careers/,workday,buildertrend,buildertrend.wd108.myworkdayjobs.com,
Empower,https://www.empower.me/careers,ashby,tilthq,jobs.ashbyhq.com/tilthq,
Wonder,https://www.wonder.com/careers,workday,wonder,wonder.wd1.myworkdayjobs.com,
