company,careers_url,ats,slug,evidence,error
8x8,https://www.8x8.com/careers,workday,8x8inc.wd5.myworkdayjobs.com,followed link https://www.8x8.com/careers/jobs/2a4584b5719d1000c95e392e235 → https://www.8x8.com/careers/jobs/2a4584b5719d1000c95e392e235c0000-product-manage,
A Cloud Guru,https://www.a-cloud-guru.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.a-cloud-guru.com/careers
Call log:
  - navigating to ""https://www.a"
Aaptiv,https://www.aaptiv.com/careers,unknown,,,
Affirm Inc,https://www.affirm-inc.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.affirm-inc.com/careers
Call log:
  - navigating to ""https://www.aff"
Afterpay,https://www.afterpay.com/en-US/careers,unknown,,,
Age of Learning,https://www.age-of-learning.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.age-of-learning.com/careers
Call log:
  - navigating to ""https://ww"
Anchorage Digital,https://www.anchorage-digital.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.anchorage-digital.com/careers
Call log:
  - navigating to ""https://"
Arc (Browser Company),https://www.arc-browser-company.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.arc-browser-company.com/careers
Call log:
  - navigating to ""https:"
Archer Aviation,https://www.archer-aviation.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.archer-aviation.com/careers
Call log:
  - navigating to ""https://ww"
Ashby (ATS),https://www.ashby-ats.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.ashby-ats.com/careers
Call log:
  - navigating to ""https://www.ashb"
Bench Accounting,https://www.bench-accounting.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.bench-accounting.com/careers
Call log:
  - navigating to ""https://w"
Better.com,https://better.com/careers,unknown,,,
Beyond Meat,https://www.beyond-meat.com/careers,unknown,,,
Blind,https://www.blind.com/careers,error,,,"Page.goto: Timeout 25000ms exceeded.
Call log:
  - navigating to ""https://www.blind.com/careers"", waiting until ""domcont"
Block (Square),https://www.block-square.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.block-square.com/careers
Call log:
  - navigating to ""https://www.b"
Box,https://www.box.com/en-us/about-us/careers,unknown,,,
Branch (Earned Wage),https://www.branch-earned-wage.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.branch-earned-wage.com/careers
Call log:
  - navigating to ""https:/"
Brandless,https://www.brandless.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.brandless.com/careers
Call log:
  - navigating to ""https://www.bran"
Bread Financial,https://www.bread-financial.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.bread-financial.com/careers
Call log:
  - navigating to ""https://ww"
Breezy HR,https://www.breezy-hr.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.breezy-hr.com/careers
Call log:
  - navigating to ""https://www.bree"
Brex Empower,https://www.brex-empower.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.brex-empower.com/careers
Call log:
  - navigating to ""https://www.b"
Building Engines,https://www.building-engines.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.building-engines.com/careers
Call log:
  - navigating to ""https://w"
CAVA,https://www.cava.com/careers,unknown,,,
Captable.io,https://www.captableio.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.captableio.com/careers
Call log:
  - navigating to ""https://www.cap"
Carta Talent,https://www.carta-talent.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.carta-talent.com/careers
Call log:
  - navigating to ""https://www.c"
Carta Venture,https://www.carta-venture.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.carta-venture.com/careers
Call log:
  - navigating to ""https://www."
Catalant,https://www.catalant.com/careers,lever,gocatalant,page load: https://catalant.com/careers/,
Chime Financial,https://www.chime-financial.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.chime-financial.com/careers
Call log:
  - navigating to ""https://ww"
Clutch Kitchen,https://www.clutch-kitchen.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.clutch-kitchen.com/careers
Call log:
  - navigating to ""https://www"
Compass,https://www.compass.com/careers/,unknown,,,
Copy.ai,https://www.copyai.com/careers,error,,,"Page.goto: Timeout 25000ms exceeded.
Call log:
  - navigating to ""https://www.copyai.com/careers"", waiting until ""domcon"
Cron,https://www.cron.com/careers,error,,,"Page.goto: Timeout 25000ms exceeded.
Call log:
  - navigating to ""https://www.cron.com/careers"", waiting until ""domconte"
Culture Amp HR,https://www.culture-amp-hr.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.culture-amp-hr.com/careers
Call log:
  - navigating to ""https://www"
Current Banking,https://www.current-banking.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.current-banking.com/careers
Call log:
  - navigating to ""https://ww"
Deel HR,https://www.deel-hr.com/careers,unknown,,,
Density,https://www.density.com/careers,error,,,"Page.goto: net::ERR_CONNECTION_CLOSED at https://www.density.com/careers
Call log:
  - navigating to ""https://www.densit"
Disney Streaming,https://www.disney-streaming.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.disney-streaming.com/careers
Call log:
  - navigating to ""https://w"
Divvy Homes,https://www.divvy-homes.com/careers,error,,,"Page.goto: net::ERR_NAME_NOT_RESOLVED at https://www.divvy-homes.com/careers
Call log:
  - navigating to ""https://www.di"
