company_name,tenant,instance,site,total_jobs
Alnylam Pharma,ap,wd12,AP_Careers,64
American Express,american,wd1,AU,87
American Tower,american,wd1,AU,87
Arm Holdings,ah,wd108,AvenHospitalityJobs,25
Canadian Pacific KC,cpk,wd503,CPK_Field,424
Coca-Cola,coke,wd1,coca-cola-careers,195
Crown Castle,cc,wd3,ChanelCareers,1001
Deutsche Bank,db,wd3,DBWebsite,1019
Duke Energy,dukeenergy,wd1,Search,59
GE Aerospace,geaerospace,wd5,GE_ExternalSite,559
General Dynamics,gdit,wd5,External_Career_Site,1084
Martin Marietta,martin,wd1,MPHC,26
Monolithic Power,monolithicpower,wd12,MPS_Careers,198
Morgan Stanley,ms,wd5,External,1370
Northrop Grumman,ngc,wd1,Northrop_Grumman_External_Site,3164
Novo Nordisk,novoco,wd108,Novogradac,173
PG&E,pg,wd5,1000,608
Republic Services,republic,wd5,Republic,1583
Rocket Lab,rocket,wd5,rocket_careers,66
Super Micro Computer,super,wd103,EXT,79
Take-Two Interactive,tti,wd1,Milwaukee,288
Western Digital,western,wd1,WESTERN,3
