company_name,tenant,instance,verified
AIG,aig,,no
Amphenol,amphenol,,no
American Tower,americantower,,no
Agnico Eagle Mines,agnicoeagle,,no
Ambev,ambev,,no
AMETEK,ametek,,no
Ameriprise Financial,ameriprise,,no
Aflac,aflac,,no
American Express,americanexpress,,no
AbbVie,abbvie,,no
AMD,amd,,no
Applied Materials,appliedmaterials,,no
Anheuser-Busch InBev,abinbev,,no
Alnylam Pharma,alnylam,,no
AngloGold Ashanti,anglogoldashanti,,no
3M,3m,,no
Aon,aon,,no
Agilent,agilent,,no
Altria,altria,,no
Allstate,allstate,,no
ArcelorMittal,arcelormittal,,no
Arthur J. Gallagher,ajg,,no
Atmos Energy,atmosenergy,,no
AutoZone,autozone,,no
Archer-Daniels-Midland,adm,,no
ASML,asml,,no
Bank of Nova Scotia,scotiabank,,no
Arm Holdings,arm,,no
Barrick Mining,barrick,,no
Autodesk,autodesk,,no
AstraZeneca,astrazeneca,,no
Boston Scientific,bostonscientific,,no
Booking Holdings,bookingholdings,,no
Arista Networks,arista,,no
BlackRock,blackrock,,no
BNY Mellon,bnymellon,,no
BHP Group,bhp,,no
British American Tobacco,bat,,no
Broadcom,broadcom,,no
BP,bp,,no
Cameco,cameco,,no
Canadian Pacific KC,cpkc,,no
Canadian Natural Res,cnrl,,no
Canadian National Rail,cn,,no
Carrier Global,carrier,,no
CenterPoint Energy,centerpointenergy,,no
Caterpillar,caterpillar,,no
Casey's General Stores,caseys,,no
Cardinal Health,cardinalhealth,,no
Cboe Global Markets,cboe,,no
CBRE Group,cbre,,no
Celestica,celestica,,no
Cenovus Energy,cenovus,,no
Charles Schwab,schwab,,no
Cheniere Energy,cheniere,,no
Cencora,cencora,,no
Chevron,chevron,,no
Cheniere Energy Partners,cheniere,,no
Chipotle,chipotle,,no
Cisco,cisco,,no
CME Group,cmegroup,,no
Coca-Cola Europacific,ccep,,no
Chubb,chubb,,no
Colgate-Palmolive,colgate,,no
Coherent,coherent,,no
Cintas,cintas,,no
Copart,copart,,no
Citigroup,citi,,no
Corning,corning,,no
Coca-Cola,cocacola,,no
Consolidated Edison,coned,,no
CRH,crh,,no
Corteva,corteva,,no
Constellation Energy,constellationenergy,,no
CSX,csx,,no
Crown Castle,crowncastle,,no
CIBC,cibc,,no
Dell,dell,wd1,yes
Carnival,carnival,,no
Cummins,cummins,,no
Deere,deere,,no
D.R. Horton,drhorton,,no
Devon Energy,devon,,no
Eaton,eaton,,no
Delta Air Lines,delta,,no
DexCom,dexcom,,no
Deutsche Bank,deutschebank,,no
Dover,dovercrp,,no
Duke Energy,duke,,no
Dominion Energy,dominionenergy,,no
eBay,ebay,,no
Digital Realty,digitalrealty,,no
